"","country","date","update","cases","new_cases","deaths","new_deaths","recovered","new_recovered","active_cases","per100k","newper100k","activeper100k","days_since_case100","days_since_death1"
"2181","Nicaragua",2020-03-20,59,1,0,0,0,0,0,1,0,0,0,0,0
"2182","Niger",2020-03-20,59,1,1,0,0,0,0,1,0,0,0,0,0
"2203","Nigeria",2020-03-20,59,12,4,0,0,1,0,11,0,0,0,0,0
"2228","North Macedonia",2020-03-20,59,67,19,0,0,1,0,66,3.2,0.9,3.2,0,0
"2252","Norway",2020-03-20,59,1914,168,7,0,1,0,1906,35.3,3.1,35.2,15,7
"2262","Oman",2020-03-20,59,48,0,0,0,12,0,36,0.9,0,0.7,0,0
"2300","Pakistan",2020-03-20,59,501,47,3,1,13,0,485,0.2,0,0.2,5,2
"2309","Panama",2020-03-20,59,137,28,1,0,0,0,136,3.2,0.6,3.2,2,6
"2314","Papua New Guinea",2020-03-20,59,1,1,0,0,0,0,1,0,0,0,0,0
"2318","Paraguay",2020-03-20,59,13,2,0,0,0,0,13,0.2,0,0.2,0,0
"2342","Peru",2020-03-20,59,234,0,3,3,1,0,230,0.7,0,0.7,4,1
"2378","Philippines",2020-03-20,59,230,13,18,1,8,0,204,0.2,0,0.2,5,34
"2408","Poland",2020-03-20,59,425,70,5,0,1,0,419,1.1,0.2,1.1,5,7
"2429","Portugal",2020-03-20,59,1020,235,6,3,5,2,1009,10,2.3,9.9,8,4
"2444","Qatar",2020-03-20,59,470,10,0,0,10,6,460,16.3,0.3,16,7,0
"2497","Republic of Korea",2020-03-20,59,8652,87,94,3,1540,0,7018,16.9,0.2,13.7,22,22
"2514","Republic of the Congo",2020-03-20,59,3,0,0,0,0,0,3,0.1,0,0.1,0,0
"2539","Romania",2020-03-20,59,308,31,0,0,25,0,283,1.6,0.2,1.5,7,0
"2544","Russia",2020-03-20,59,253,54,1,0,9,0,243,0.2,0,0.2,1,1
"2590","Rwanda",2020-03-20,59,17,9,0,0,0,0,17,0.1,0.1,0.1,0,0
"2598","Saint Lucia",2020-03-20,59,2,0,0,0,0,0,2,1.1,0,1.1,0,0
"2608","Saint Vincent and the Grenadines",2020-03-20,59,1,0,0,0,0,0,1,0.9,0,0.9,0,0
"2624","San Marino",2020-03-20,59,144,25,14,3,4,0,126,423.5,73.5,370.6,3,11
"2649","Saudi Arabia",2020-03-20,59,344,70,0,0,8,2,336,1,0.2,1,7,0
"2664","Senegal",2020-03-20,59,38,7,0,0,2,0,36,0.2,0,0.2,0,0
"2672","Serbia",2020-03-20,59,135,32,1,1,1,0,133,1.5,0.4,1.5,1,1
"2688","Seychelles",2020-03-20,59,7,1,0,0,0,0,7,7.1,1,7.1,0,0
"2728","Singapore",2020-03-20,59,385,40,0,0,124,10,261,6.6,0.7,4.5,11,0
"2761","Slovakia",2020-03-20,59,137,14,1,0,0,0,136,2.5,0.3,2.5,2,2
"2778","Slovenia",2020-03-20,59,341,55,1,0,0,0,340,16.4,2.6,16.4,7,6
"2783","Somalia",2020-03-20,59,1,0,0,0,0,0,1,0,0,0,0,0
"2790","South Africa",2020-03-20,59,202,52,0,0,0,0,202,0.3,0.1,0.3,2,0
"2844","Spain",2020-03-20,59,20410,2447,1043,213,1588,481,17779,43.7,5.2,38,17,16
"2900","Sri Lanka",2020-03-20,59,73,13,0,0,3,0,70,0.3,0.1,0.3,0,0
"2908","Sudan",2020-03-20,59,2,0,1,0,0,0,1,0,0,0,0,2
"2920","Suriname",2020-03-20,59,4,3,0,0,0,0,4,0.7,0.5,0.7,0,0
"2971","Sweden",2020-03-20,59,1639,200,16,5,16,0,1607,16.2,2,15.9,15,10
"2972","Switzerland",2020-03-20,59,5294,1219,54,13,15,0,5225,61.2,14.1,60.4,1,1
"3000","Taiwan",2020-03-20,59,135,27,2,1,26,0,107,0.6,0.1,0.4,1,2
"3059","Tanzania, United Republic of",2020-03-20,59,6,0,0,0,0,0,6,0,0,0,0,0
"3098","Thailand",2020-03-20,59,322,50,1,0,42,0,279,0.5,0.1,0.4,3,13
"3121","The Bahamas",2020-03-20,59,3,0,0,0,0,0,3,0.8,0,0.8,0,0
"3127","The Gambia",2020-03-20,59,1,0,0,0,0,0,1,0,0,0,0,0
"3143","Togo",2020-03-20,59,9,8,0,0,1,1,8,0.1,0.1,0.1,0,0
"3145","Trinidad and Tobago",2020-03-20,59,9,0,0,0,0,0,9,0.6,0,0.6,0,0
"3162","Tunisia",2020-03-20,59,54,15,1,0,0,0,53,0.5,0.1,0.4,0,1
"3177","Turkey",2020-03-20,59,359,167,4,1,0,0,355,0.4,0.2,0.4,2,4
"3226","UK",2020-03-20,59,4014,1298,178,40,67,0,3769,5.9,1.9,5.6,16,16
"3240","Ukraine",2020-03-20,59,29,13,3,1,0,0,26,0.1,0,0.1,0,6
"3268","United Arab Emirates",2020-03-20,59,140,0,2,2,31,0,107,1.4,0,1.1,3,1
"3304","Uruguay",2020-03-20,59,94,15,0,0,0,0,94,2.7,0.4,2.7,0,0
"3325","USA",2020-03-20,59,19100,5423,244,44,0,0,18856,5.8,1.6,5.7,8,10
"3368","Uzbekistan",2020-03-20,59,33,10,0,0,0,0,33,0.1,0,0.1,0,0
"3376","Venezuela",2020-03-20,59,42,0,0,0,0,0,42,0.1,0,0.1,0,0
"3433","Vietnam",2020-03-20,59,91,6,0,0,16,0,75,0.1,0,0.1,0,0
"3435","Zambia",2020-03-20,59,2,0,0,0,0,0,2,0,0,0,0,0
"3438","Zimbabwe",2020-03-20,59,1,1,0,0,0,0,1,0,0,0,0,0
